Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067000100,82.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067000200,81.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067000300,81.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067000400,83.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067000600,77.6,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001101,68.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001300,80.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001400,75,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001500,79.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001600,82.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001700,80.6,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001800,77.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067001900,77.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002000,78,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002100,84.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002200,80.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002300,79.8,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002400,85.2,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002500,84.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002600,77.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067002700,76.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
